TEXT_HERO_KALANI,Kalani
TEXT_NOTE,Put text changes for submods here
TEXT_TOOLTIP_AUXILIA,An antiquated but well-rounded cruiser. It was designed to run down pirate vessels by the Trade Defense Force several centuries before the Clone Wars, and commonly sees service alongside the Captor-class that shares its base design. Well suited to engaging medium capital ships and escort vessels.
TEXT_TOOLTIP_AUXILIA_HULL,Hull: 2310 (Frigate)
TEXT_TOOLTIP_AUXILIA_MOVE,Speed: 5.6 | Accel: 0.25 | Turn: 0.45
TEXT_TOOLTIP_AUXILIA_SHIELD,Shields: 2500 / [25/R] (Frigate)
TEXT_TOOLTIP_AUXILIA_WEAP1,2x Light Dual Turbolasers: 2 / 2.5s / 5.1km
TEXT_TOOLTIP_AUXILIA_WEAP2,4x Light Turbolasers: 2 / 1.0s / 5.1km
TEXT_TOOLTIP_AUXILIA_WEAP3,2x Light Dual Ion Cannons: 2 / 2.5s / 5.1km
TEXT_TOOLTIP_AUXILIA_WEAP4,2x Concussion Missiles: 1 / 10.0s / 4.1km
TEXT_TOOLTIP_C9979,A ubiquitous logistics vessel designed to resemble the pre-existing cargo barges and support vessels of the Trade Federation. Though most famous as a supermassive troop lander, the C-9979 is often converted to a respectable carrier and picket by converting the internal storage into bays suitable for storing both piloted and droid starfighters.
TEXT_TOOLTIP_C9979_FACTORY_CIS_1,B1 Battle Droid Squad: 4 / ∞
TEXT_TOOLTIP_C9979_FACTORY_CIS_2,Single Trooper Aerial Platform: 4 / 8
TEXT_TOOLTIP_C9979_FACTORY_CIS_3,Armored Assault Tank-1: 2 / 4
TEXT_TOOLTIP_C9979_FACTORY_CIS_4,Multi-Troop Transport: 1 / 0
TEXT_TOOLTIP_C9979_FACTORY_CIS_HEALTH,Health: 2000 (Structure)
TEXT_TOOLTIP_C9979_FACTORY_CIS_WEAP1,4x Heavy AV Blaster Cannons: 2 / 1.0s / 1000m
TEXT_TOOLTIP_C9979_HULL,Hull: 700 (Corvette)
TEXT_TOOLTIP_C9979_MOVE,Speed: 3.5 | Accel: 0.2 | Turn: 0.45
TEXT_TOOLTIP_C9979_PD,Point-Defense: 1 / 1.14s / 1.5km
TEXT_TOOLTIP_C9979_SHIELD,Shields: 700 / [14/R] (Corvette)
TEXT_TOOLTIP_C9979_SQUADRON,Fighters: 1 / 1 | Bombers: 1 / 2
TEXT_TOOLTIP_C9979_WEAP1,2x Heavy Dual Laser Cannons: 2 / 5.0s / 4.6km
TEXT_TOOLTIP_C9979_WEAP2,2x Medium Dual Rapid Laser Cannons: 6 / 5.0s / 3.6km
TEXT_TOOLTIP_COMMAND_INVULNERABLE,Providence Dreadnought, Invulnerable
TEXT_TOOLTIP_DH_OMNI,A dated corporate cargo hauler converted into a general purpose fleet support craft in an attempt to shift logistics burdens away from the Trade Federation. It is used as a fleet tender and to deploy interdiction mines - the most reliable method of hyperspace prevention in the era. It is durable and well-protected from fighters but vulnerable to larger enemy vessels.
TEXT_TOOLTIP_DH_OMNI_HULL,Hull: 4400 (Heavy Frigate)
TEXT_TOOLTIP_DH_OMNI_MINE,Interdiction Mines: 3 / 9
TEXT_TOOLTIP_DH_OMNI_MOVE,Speed: 2.1 | Accel: 0.1 | Turn: 0.1
TEXT_TOOLTIP_DH_OMNI_SHIELD,Shields: 3800 / [28.5/R] (Heavy Frigate)
TEXT_TOOLTIP_DH_OMNI_SQUADRON,Fighters: 2.5 / 2.5 | Bombers: 2 / 2
TEXT_TOOLTIP_DH_OMNI_TENDER,Fleet Tender: 100 / 1.0s / 3.2km
TEXT_TOOLTIP_DH_OMNI_WEAP1,8x Medium Laser Cannons: 2 / 0.5s / 4.2km
TEXT_TOOLTIP_DIAMOND,A Commerce Guild transport and cruiser fitted with a respectable number of laser batteries. It is often used as a fast and secure courier vessel by ranking corporate individuals. Serves as an anti-fighter screen in fleet engagements.
TEXT_TOOLTIP_DIAMOND_HULL,Hull: 900 (Frigate)
TEXT_TOOLTIP_DIAMOND_MOVE,Speed: 5.6 | Accel: 0.175 | Turn: 0.4
